STOP_ID,STOP_NAME,STATION_NAME,MAP_ID,ADA,RED,BLUE,G,BRN,P,Pexp,Y,Pnk,O,Location
30285,Harrison (Howard-bound),Harrison,41490,false,true,false,false,false,false,false,false,false,false,"(41.874039, -87.627479)"
30173,Howard (Terminal arrival),Howard,40900,true,true,false,false,false,false,false,false,false,false,"(42.019063, -87.672892)"
30176,Howard (Terminal arrival),Howard,40900,true,false,false,false,false,true,true,true,false,false,"(42.019063, -87.672892)"
30175,"Howard (Linden, Skokie-bound)",Howard,40900,true,false,false,false,false,true,true,true,false,false,"(42.019063, -87.672892)"
30174,Howard (95th-Bound),Howard,40900,true,true,false,false,false,false,false,false,false,false,"(42.019063, -87.672892)"
30157,Illinois Medical District (O'Hare-bound),Illinois Medical District,40810,true,false,true,false,false,false,false,false,false,false,"(41.875706, -87.673932)"
30158,Illinois Medical District (Forest Pk-bound),Illinois Medical District,40810,true,false,true,false,false,false,false,false,false,false,"(41.875706, -87.673932)"
30059,Indiana (63rd-bound),Indiana,40300,true,false,false,true,false,false,false,false,false,false,"(41.821732, -87.621371)"
30058,Indiana (Harlem-bound),Indiana,40300,true,false,false,true,false,false,false,false,false,false,"(41.821732, -87.621371)"
30282,Irving Park (Loop-bound),Irving Park,41460,true,false,false,false,true,false,false,false,false,false,"(41.954521, -87.674868)"
30107,Irving Park (O'Hare Branch) (O'Hare-bound),Irving Park,40550,false,false,true,false,false,false,false,false,false,false,"(41.952925, -87.729229)"
30108,Irving Park (O'Hare Branch) (Forest Pk-bound),Irving Park,40550,false,false,true,false,false,false,false,false,false,false,"(41.952925, -87.729229)"
30281,Irving Park (Kimball-bound),Irving Park,41460,true,false,false,false,true,false,false,false,false,false,"(41.954521, -87.674868)"
30014,Jackson/Dearborn (O'Hare-bound),Jackson,40070,true,false,true,false,false,false,false,false,false,false,"(41.878183, -87.629296)"
30110,Jackson/State (95th-bound),Jackson,40560,true,true,false,false,false,false,false,false,false,false,"(41.878153, -87.627596)"
30109,Jackson/State (Howard-bound),Jackson,40560,true,true,false,false,false,false,false,false,false,false,"(41.878153, -87.627596)"
30015,Jackson/Dearborn (Forest Pk-bound),Jackson,40070,true,false,true,false,false,false,false,false,false,false,"(41.878183, -87.629296)"
30227,Jarvis (Howard-bound),Jarvis,41190,false,true,false,false,false,false,false,false,false,false,"(42.015876, -87.669092)"
30228,Jarvis (95th-bound),Jarvis,41190,false,true,false,false,false,false,false,false,false,false,"(42.015876, -87.669092)"
30247,Jefferson Park (O'Hare-bound),Jefferson Park,41280,true,false,true,false,false,false,false,false,false,false,"(41.970634, -87.760892)"
30248,Jefferson Park (Forest Pk-bound),Jefferson Park,41280,true,false,true,false,false,false,false,false,false,false,"(41.970634, -87.760892)"
30226,Kedzie (Loop-bound),Kedzie,41180,true,false,false,false,true,false,false,false,false,false,"(41.965996, -87.708821)"
30219,Kedzie (Loop-bound),Kedzie,41150,true,false,false,false,false,false,false,false,false,true,"(41.804236, -87.704406)"
30220,Kedzie (Midway-bound),Kedzie,41150,true,false,false,false,false,false,false,false,false,true,"(41.804236, -87.704406)"
30202,Kedzie (54th/Cermak-bound),Kedzie,41040,true,false,false,false,false,false,false,false,true,false,"(41.853964, -87.705408)"
30201,Kedzie (Loop-bound),Kedzie,41040,true,false,false,false,false,false,false,false,true,false,"(41.853964, -87.705408)"
30225,Kedzie (Kimball-bound),Kedzie,41180,true,false,false,false,true,false,false,false,false,false,"(41.965996, -87.708821)"
30207,Kedzie (63rd-bound),Kedzie,41070,true,false,false,true,false,false,false,false,false,false,"(41.884321, -87.706155)"
30208,Kedzie (Harlem-bound),Kedzie,41070,true,false,false,true,false,false,false,false,false,false,"(41.884321, -87.706155)"
30049,Kedzie-Homan (Forest Pk-bound),Kedzie-Homan,40250,true,false,true,false,false,false,false,false,false,false,"(41.874341, -87.70604)"
30048,Kedzie-Homan (O'Hare-bound),Kedzie-Homan,40250,true,false,true,false,false,false,false,false,false,false,"(41.874341, -87.70604)"
30249,Kimball (Terminal arrival),Kimball,41290,true,false,false,false,true,false,false,false,false,false,"(41.967901, -87.713065)"
30250,Kimball (Loop-bound),Kimball,41290,true,false,false,false,true,false,false,false,false,false,"(41.967901, -87.713065)"
30217,King Drive (Cottage Grove-bound),King Drive,41140,true,false,false,true,false,false,false,false,false,false,"(41.78013, -87.615546)"
30218,King Drive (Harlem-bound),King Drive,41140,true,false,false,true,false,false,false,false,false,false,"(41.78013, -87.615546)"
30117,Kostner (Loop-bound),Kostner,40600,true,false,false,false,false,false,false,false,true,false,"(41.853751, -87.733258)"
30118,Kostner (54th/Cermak-bound),Kostner,40600,true,false,false,false,false,false,false,false,true,false,"(41.853751, -87.733258)"
30290,Lake (95th-bound),Lake,41660,true,true,false,false,false,false,false,false,false,false,"(41.884809, -87.627813)"
30289,Lake (Howard-bound),Lake,41660,true,true,false,false,false,false,false,false,false,false,"(41.884809, -87.627813)"
30135,Laramie (63rd-bound),Laramie,40700,true,false,false,true,false,false,false,false,false,false,"(41.887163, -87.754986)"
30136,Laramie (Harlem-bound),Laramie,40700,true,false,false,true,false,false,false,false,false,false,"(41.887163, -87.754986)"
30262,LaSalle (Forest Pk-bound),LaSalle,41340,false,false,true,false,false,false,false,false,false,false,"(41.875568, -87.631722)"
30261,LaSalle (O'Hare-bound),LaSalle,41340,false,false,true,false,false,false,false,false,false,false,"(41.875568, -87.631722)"
30030,LaSalle/Van Buren (Outer Loop),LaSalle/Van Buren,40160,false,false,false,false,true,false,false,false,false,false,"(41.8768, -87.631739)"
30031,LaSalle/Van Buren (Inner Loop),LaSalle/Van Buren,40160,false,false,false,false,false,false,true,false,true,true,"(41.8768, -87.631739)"
30149,Lawrence (Howard-bound),Lawrence,40770,false,true,false,false,false,false,false,false,false,false,"(41.969139, -87.658493)"
30150,Lawrence (95th-bound),Lawrence,40770,false,true,false,false,false,false,false,false,false,false,"(41.969139, -87.658493)"
30203,Linden (Linden-bound),Linden,41050,true,false,false,false,false,true,true,false,false,false,"(42.073153, -87.69073)"
30204,Linden (Howard-Loop-bound),Linden,41050,true,false,false,false,false,true,true,false,false,false,"(42.073153, -87.69073)"
30197,Logan Square (O'Hare-bound),Logan Square,41020,true,false,true,false,false,false,false,false,false,false,"(41.929728, -87.708541)"
30198,Logan Square (Forest Pk-bound),Logan Square,41020,true,false,true,false,false,false,false,false,false,false,"(41.929728, -87.708541)"
30251,Loyola (Howard-bound),Loyola,41300,true,true,false,false,false,false,false,false,false,false,"(42.001073, -87.661061)"
30252,Loyola (95th-bound),Loyola,41300,true,true,false,false,false,false,false,false,false,false,"(42.001073, -87.661061)"
30052,Main (Linden-bound),Main,40270,false,false,false,false,false,true,true,false,false,false,"(42.033456, -87.679538)"
30053,Main (Howard-Loop-bound),Main,40270,false,false,false,false,false,true,true,false,false,false,"(42.033456, -87.679538)"
30091,Merchandise Mart (Loop-bound),Merchandise Mart,40460,true,false,false,false,true,false,true,false,false,false,"(41.888969, -87.633924)"
30090,Merchandise Mart (Kimball-Linden-bound),Merchandise Mart,40460,true,false,false,false,true,false,true,false,false,false,"(41.888969, -87.633924)"
30182,Midway (Arrival),Midway,40930,true,false,false,false,false,false,false,false,false,true,"(41.78661, -87.737875)"
30181,Midway (Loop-bound),Midway,40930,true,false,false,false,false,false,false,false,false,true,"(41.78661, -87.737875)"
30153,Monroe (O'Hare-bound),Monroe,40790,false,false,true,false,false,false,false,false,false,false,"(41.880703, -87.629378)"
30211,Monroe (Howard-bound),Monroe,41090,false,true,false,false,false,false,false,false,false,false,"(41.880745, -87.627696)"
30212,Monroe (95th-bound),Monroe,41090,false,true,false,false,false,false,false,false,false,false,"(41.880745, -87.627696)"
30154,Monroe (Forest Pk-bound),Monroe,40790,false,false,true,false,false,false,false,false,false,false,"(41.880703, -87.629378)"
30260,Montrose (Forest Pk-bound),Montrose,41330,false,false,true,false,false,false,false,false,false,false,"(41.961539, -87.743574)"
30259,Montrose (O'Hare-bound),Montrose,41330,false,false,true,false,false,false,false,false,false,false,"(41.961539, -87.743574)"
30287,Montrose (Kimball-bound),Montrose,41500,true,false,false,false,true,false,false,false,false,false,"(41.961756, -87.675047)"
30288,Montrose (Loop-bound),Montrose,41500,true,false,false,false,true,false,false,false,false,false,"(41.961756, -87.675047)"
30296,Morgan (Harlem-54th/Cermak-bound),Morgan,41510,true,false,false,true,false,false,false,false,true,false,"(41.885586, -87.652193)"
30295,Morgan (Loop-63rd-bound),Morgan,41510,true,false,false,true,false,false,false,false,true,false,"(41.885586, -87.652193)"
30020,Morse (Howard-bound),Morse,40100,false,true,false,false,false,false,false,false,false,false,"(42.008362, -87.665909)"
30021,Morse (95th-bound),Morse,40100,false,true,false,false,false,false,false,false,false,false,"(42.008362, -87.665909)"
30125,North/Clybourn (Howard-bound),North/Clybourn,40650,false,true,false,false,false,false,false,false,false,false,"(41.910655, -87.649177)"
30126,North/Clybourn (95th-bound),North/Clybourn,40650,false,true,false,false,false,false,false,false,false,false,"(41.910655, -87.649177)"
30079,Noyes (Howard-Loop-bound),Noyes,40400,false,false,false,false,false,true,true,false,false,false,"(42.058282, -87.683337)"
30078,Noyes (Linden-bound),Noyes,40400,false,false,false,false,false,true,true,false,false,false,"(42.058282, -87.683337)"
30263,Oak Park (63rd-bound),Oak Park,41350,false,false,false,true,false,false,false,false,false,false,"(41.886988, -87.793783)"
30035,Oak Park (Forest Pk-bound),Oak Park,40180,false,false,true,false,false,false,false,false,false,false,"(41.872108, -87.791602)"
30034,Oak Park (O'Hare-bound),Oak Park,40180,false,false,true,false,false,false,false,false,false,false,"(41.872108, -87.791602)"
30264,Oak Park (Harlem-bound),Oak Park,41350,false,false,false,true,false,false,false,false,false,false,"(41.886988, -87.793783)"
30298,Oakton-Skokie (Howard-bound),Oakton-Skokie,41680,true,false,false,false,false,false,false,true,false,false,"(42.02624348, -87.74722084)"
30297,Oakton-Skokie (Dempster-Skokie-bound),Oakton-Skokie,41680,true,false,false,false,false,false,false,true,false,false,"(42.02624348, -87.74722084)"
30172,O'Hare (Forest Pk-bound),O'Hare,40890,true,false,true,false,false,false,false,false,false,false,"(41.97766526, -87.90422307)"
30171,O'Hare (Terminal Arrival),O'Hare,40890,true,false,true,false,false,false,false,false,false,false,"(41.97766526, -87.90422307)"
30254,Paulina (Loop-bound),Paulina,41310,true,false,false,false,true,false,false,false,false,false,"(41.943623, -87.670907)"
30253,Paulina (Kimball-bound),Paulina,41310,true,false,false,false,true,false,false,false,false,false,"(41.943623, -87.670907)"
30200,Polk (54th/Cermak-bound),Polk,41030,true,false,false,false,false,false,false,false,true,false,"(41.871551, -87.66953)"
30199,Polk (Loop-bound),Polk,41030,true,false,false,false,false,false,false,false,true,false,"(41.871551, -87.66953)"
30028,Pulaski (Loop-bound),Pulaski,40150,true,false,false,false,false,false,false,false,true,false,"(41.853732, -87.724311)"
30185,Pulaski (Loop-bound),Pulaski,40960,true,false,false,false,false,false,false,false,false,true,"(41.799756, -87.724493)"
30186,Pulaski (Midway-bound),Pulaski,40960,true,false,false,false,false,false,false,false,false,true,"(41.799756, -87.724493)"
30029,Pulaski (54th/Cermak-bound),Pulaski,40150,true,false,false,false,false,false,false,false,true,false,"(41.853732, -87.724311)"
30180,Pulaski (Forest Pk-bound),Pulaski,40920,false,false,true,false,false,false,false,false,false,false,"(41.873797, -87.725663)"
30179,Pulaski (O'Hare-bound),Pulaski,40920,false,false,true,false,false,false,false,false,false,false,"(41.873797, -87.725663)"
30005,Pulaski (63rd-bound),Pulaski,40030,true,false,false,true,false,false,false,false,false,false,"(41.885412, -87.725404)"
30006,Pulaski (Harlem-bound),Pulaski,40030,true,false,false,true,false,false,false,false,false,false,"(41.885412, -87.725404)"
30007,Quincy/Wells (Inner Loop),Quincy/Wells,40040,false,false,false,false,false,false,true,false,true,true,"(41.878723, -87.63374)"
30008,Quincy/Wells (Outer Loop),Quincy/Wells,40040,false,false,false,false,true,false,false,false,false,false,"(41.878723, -87.63374)"
30093,Racine (Forest Pk-bound),Racine,40470,false,false,true,false,false,false,false,false,false,false,"(41.87592, -87.659458)"
30092,Racine (O'Hare-bound),Racine,40470,false,false,true,false,false,false,false,false,false,false,"(41.87592, -87.659458)"
30120,Ridgeland (Harlem-bound),Ridgeland,40610,false,false,false,true,false,false,false,false,false,false,"(41.887159, -87.783661)"
30119,Ridgeland (63rd-bound),Ridgeland,40610,false,false,false,true,false,false,false,false,false,false,"(41.887159, -87.783661)"
30196,Rockwell (Loop-bound),Rockwell,41010,true,false,false,false,true,false,false,false,false,false,"(41.966115, -87.6941)"
30195,Rockwell (Kimball-bound),Rockwell,41010,true,false,false,false,true,false,false,false,false,false,"(41.966115, -87.6941)"
30081,Roosevelt (Midway-63rd-bound),Roosevelt,41400,true,false,false,true,false,false,false,false,false,true,"(41.867405, -87.62659)"
30080,Roosevelt (Loop-Harlem-bound),Roosevelt,41400,true,false,false,true,false,false,false,false,false,true,"(41.867405, -87.62659)"
30269,Roosevelt (Howard-bound),Roosevelt,41400,true,true,false,false,false,false,false,false,false,false,"(41.867368, -87.627402)"
30270,Roosevelt (95th-bound),Roosevelt,41400,true,true,false,false,false,false,false,false,false,false,"(41.867368, -87.627402)"
30159,Rosemont (O'Hare-bound),Rosemont,40820,true,false,true,false,false,false,false,false,false,false,"(41.983507, -87.859388)"
30160,Rosemont (Forest Pk-bound),Rosemont,40820,true,false,true,false,false,false,false,false,false,false,"(41.983507, -87.859388)"
30155,Sedgwick (Kimball-Linden-bound),Sedgwick,40800,true,false,false,false,true,false,true,false,false,false,"(41.910409, -87.639302)"
30156,Sedgwick (Loop-bound),Sedgwick,40800,true,false,false,false,true,false,true,false,false,false,"(41.910409, -87.639302)"
30017,Sheridan (95th-bound),Sheridan,40080,false,true,false,false,false,false,false,false,false,false,"(41.953775, -87.654929)"
30016,Sheridan (Howard-bound),Sheridan,40080,false,true,false,false,false,false,false,false,false,false,"(41.953775, -87.654929)"
30293,Sheridan (Howard-Linden-bound),Sheridan,40080,false,false,false,false,false,false,false,false,false,false,"(41.953775, -87.654929)"
30294,Sheridan (Loop-bound),Sheridan,40080,false,false,false,false,false,false,false,false,false,false,"(41.953775, -87.654929)"
30163,South Blvd (Linden-bound),South Boulevard,40840,false,false,false,false,false,true,true,false,false,false,"(42.027612, -87.678329)"
30164,South Blvd (Howard-Loop-bound),South Boulevard,40840,false,false,false,false,false,true,true,false,false,false,"(42.027612, -87.678329)"
30070,Southport (Kimball-bound),Southport,40360,true,false,false,false,true,false,false,false,false,false,"(41.943744, -87.663619)"
30071,Southport (Loop-bound),Southport,40360,true,false,false,false,true,false,false,false,false,false,"(41.943744, -87.663619)"
30036,Sox-35th (Howard-bound),Sox-35th,40190,true,true,false,false,false,false,false,false,false,false,"(41.831191, -87.630636)"
30037,Sox-35th (95th-bound),Sox-35th,40190,true,true,false,false,false,false,false,false,false,false,"(41.831191, -87.630636)"
30051,State/Lake (Outer Loop),State/Lake,40260,false,false,false,true,true,false,false,false,false,false,"(41.88574, -87.627835)"
30050,State/Lake (Inner Loop),State/Lake,40260,false,false,false,true,false,false,true,false,true,true,"(41.88574, -87.627835)"
30170,Thorndale (95th-bound),Thorndale,40880,false,true,false,false,false,false,false,false,false,false,"(41.990259, -87.659076)"
30169,Thorndale (Howard-bound),Thorndale,40880,false,true,false,false,false,false,false,false,false,false,"(41.990259, -87.659076)"
30069,UIC-Halsted (Forest Pk-bound),UIC-Halsted,40350,true,false,true,false,false,false,false,false,false,false,"(41.875474, -87.649707)"
30068,UIC-Halsted (O'Hare-bound),UIC-Halsted,40350,true,false,true,false,false,false,false,false,false,false,"(41.875474, -87.649707)"
30073,Washington (Forest Pk-bound),Washington,40370,false,false,true,false,false,false,false,false,false,false,"(41.883164, -87.62944)"
30072,Washington (O'Hare-bound),Washington,40370,false,false,true,false,false,false,false,false,false,false,"(41.883164, -87.62944)"
30383,Washington/Wabash (Outer Loop),Washington/Wabash,41700,true,false,false,true,true,false,false,false,false,false,"(41.88322, -87.626189)"
30384,Washington/Wabash (Inner Loop),Washington/Wabash,41700,true,false,false,true,false,false,true,false,true,true,"(41.88322, -87.626189)"
30141,Washington/Wells (Inner Loop),Washington/Wells,40730,true,false,false,false,false,false,true,false,true,true,"(41.882695, -87.63378)"
30142,Washington/Wells (Outer Loop),Washington/Wells,40730,true,false,false,false,true,false,false,false,false,false,"(41.882695, -87.63378)"
30231,Wellington (Kimball-Linden-bound),Wellington,41210,true,false,false,false,true,false,true,false,false,false,"(41.936033, -87.653266)"
30232,Wellington (Loop-bound),Wellington,41210,true,false,false,false,true,false,true,false,false,false,"(41.936033, -87.653266)"
30129,Western (O'Hare Branch) (O'Hare-bound),Western,40670,true,false,true,false,false,false,false,false,false,false,"(41.916157, -87.687364)"
30284,Western (Loop-bound),Western,41480,true,false,false,false,true,false,false,false,false,false,"(41.966163, -87.688502)"
30283,Western (Kimball-bound),Western,41480,true,false,false,false,true,false,false,false,false,false,"(41.966163, -87.688502)"
30143,Western (Loop-bound),Western,40740,true,false,false,false,false,false,false,false,true,false,"(41.854225, -87.685129)"
30144,Western (54th/Cermak-bound),Western,40740,true,false,false,false,false,false,false,false,true,false,"(41.854225, -87.685129)"
30061,Western (Midway-bound),Western,40310,true,false,false,false,false,false,false,false,false,true,"(41.804546, -87.684019)"
30060,Western (Loop-bound),Western,40310,true,false,false,false,false,false,false,false,false,true,"(41.804546, -87.684019)"
30130,Western (O'Hare Branch) (Forest Pk-bound),Western,40670,true,false,true,false,false,false,false,false,false,false,"(41.916157, -87.687364)"
30042,Western (Forest Pk Branch) (O'Hare-bound),Western,40220,false,false,true,false,false,false,false,false,false,false,"(41.875478, -87.688436)"
30043,Western (Forest Pk Branch) (Forest Pk-bound),Western,40220,false,false,true,false,false,false,false,false,false,false,"(41.875478, -87.688436)"
30106,Wilson (95th-bound),Wilson,40540,true,true,false,false,false,false,false,false,false,false,"(41.964273, -87.657588)"
30105,Wilson (Howard-bound),Wilson,40540,true,true,false,false,false,false,false,false,false,false,"(41.964273, -87.657588)"
30385,Wilson (Loop-bound),Wilson,40540,true,false,false,false,false,false,true,false,false,false,"(41.964273, -87.657588)"
30386,Wilson (Linden-bound),Wilson,40540,true,false,false,false,false,false,true,false,false,false,"(41.964273, -87.657588)"
30033,Ashland (Harlem-54th/Cermak-bound),Ashland,40170,true,false,false,true,false,false,false,false,true,false,"(41.885269, -87.666969)"
